id,rand,coef,t
511942,0.0964036700540231,1.11,1.520967032619e+12
511943,0.9459215456028286,18.47,1.52096705196e+12
511944,0.3487195443242601,1.53,1.520967126853e+12
511945,0.4287170738514322,1.75,1.520967150736e+12
511946,0.2296998557238141,1.3,1.520967176699e+12
511947,0.4663020077781523,1.87,1.520967198192e+12
511948,0.3483719172301637,1.53,1.520967225224e+12
511949,0.2268592357232373,1.29,1.520967249106e+12
511950,0.0162497726306901,1.02,1.520967270488e+12
511951,0.5652027224575176,2.3,1.52096728874e+12
511952,0.3105541819963963,1.45,1.520967319263e+12
511953,0.6836954417367689,3.16,1.520967342334e+12
511954,0.2898387520783205,1.41,1.520967378646e+12
511955,0.9113408208152607,11.27,1.520967401308e+12
511956,0.3991380257995655,1.66,1.520967464661e+12
511957,0.4850390698958745,1.94,1.520967489794e+12
511958,0.1553048806160933,1.18,1.520967517426e+12
511959,0.2853503036977142,1.4,1.520967537578e+12
511960,0.4138123093670729,1.71,1.520967560139e+12
511961,0.9068744431498634,10.73,1.520967585731e+12
511962,0.2225478506233887,1.29,1.520967647953e+12
511963,0.3892935100917922,1.64,1.520967669334e+12
511964,0.1772330475918094,1.22,1.520967694278e+12
511965,0.1128379267437472,1.13,1.52096771489e+12
511966,0.6104668731825583,2.57,1.520967734462e+12
511967,0.7898058082884657,4.75,1.520967766944e+12
511968,0.6680478238659091,3.01,1.520967811346e+12
511969,0.3287323998121388,1.49,1.520967846739e+12
511970,0.0810156632403414,1.09,1.520967870222e+12
511971,0.6160452416204022,1,1.520967889324e+12
511972,0.1303436842584851,1.15,1.520967907326e+12
511973,0.5876882117212956,2.42,1.520967927139e+12
511974,0.5966710803556888,1,1.520967958552e+12
511975,0.0224709331575946,1.02,1.520967976554e+12
511976,0.8999959488632149,9.99,1.520967994808e+12
511977,0.2620441062054712,1.35,1.5209680554e+12
511978,0.0446286602049667,1,1.520968077433e+12
511979,0.7308686123534267,3.71,1.520968095436e+12
511980,0.6377834627958442,2.76,1.520968134849e+12
511981,0.9160661212904533,11.9,1.520968168632e+12
511982,0.4902778140945075,1.96,1.520968233234e+12
511983,0.9736471136504894,37.91,1.520968261036e+12
511984,0.5862727788245009,2.42,1.520968353237e+12
511985,0.1776473850891104,1.22,1.52096838465e+12
511986,0.0530702492811415,1.06,1.520968405263e+12
511987,0.4707384806756718,1.89,1.520968424005e+12
511988,0.9625813199585725,26.7,1.520968451205e+12
511989,0.5091151645195473,2.04,1.520968534917e+12
511990,0.3594010503402448,1,1.520968563389e+12
511991,0.6394528308043845,2.77,1.520968581392e+12
511992,0.8981703375229079,9.81,1.520968615244e+12
511993,0.1181004401571351,1.13,1.520968675427e+12
511994,0.3451416032261079,1.53,1.520968694998e+12
511995,0.9187954575565633,12.3,1.520968718881e+12
511996,0.5060676970766084,2.02,1.520968784244e+12
511997,0.3013825435893104,1,1.520968812549e+12
511998,0.6068782889300208,2.54,1.520968830552e+12
511999,0.2729147440457984,1.37,1.520968862825e+12
512000,0.0689728432495549,1.07,1.520968885067e+12
512001,0.9792658125467751,48.18,1.52096890393e+12
512002,0.9317186956600564,14.63,1.520969001992e+12
512003,0.5879587558070102,2.43,1.520969071396e+12
512004,0.4424745255248795,1.79,1.520969102878e+12
512005,0.1039948426429170,1.12,1.520969129202e+12
512006,0.8587840329526887,7.08,1.520969148665e+12
512007,0.6219218239704898,2.64,1.520969201566e+12
512008,0.4822140365099102,1.93,1.520969234539e+12
512009,0.0516188850280873,1.05,1.520969262092e+12
512010,0.7409452814005655,3.86,1.520969280715e+12
512011,0.3747856471163187,1.6,1.520969320916e+12
512012,0.9688017507942398,32.02,1.520969345479e+12
512013,0.9463162389458893,18.61,1.520969433582e+12
512014,0.1382226036252041,1.16,1.520969508654e+12
512015,0.8762281899983595,8.07,1.520969528575e+12
512016,0.1977546010626844,1.25,1.520969584368e+12
512017,0.2297231755754267,1.3,1.520969605311e+12
512018,0.8864226427130454,8.8,1.520969626804e+12
512019,0.5883086539312053,2.43,1.520969684536e+12
512020,0.5360219989754311,2.15,1.520969716019e+12
512021,0.4918357768309852,1.97,1.52096974538e+12
512022,0.3568658787656730,1.55,1.520969773262e+12
512023,0.0886300038752682,1.1,1.520969797335e+12
512024,0.2462284658677477,1.33,1.520969816558e+12
512025,0.7323566777008484,3.73,1.52096983838e+12
512026,0.7540667203148053,4.06,1.520969877904e+12
512027,0.4876373376435688,1,1.520969919106e+12
512028,0.6721658040006131,3.05,1.520969937108e+12
512029,0.8001282636076511,5,1.520969972751e+12
512030,0.6707876829129615,3.04,1.520970018213e+12
512031,0.2244007275962273,1.29,1.520970053797e+12
512032,0.2001595159992947,1.25,1.520970075178e+12
512033,0.2294356541776647,1.3,1.52097009612e+12
512034,0.1073478108987556,1.12,1.520970117611e+12
512035,0.7765410134514191,4.47,1.520970137073e+12
512036,0.3944450703902276,1.65,1.520970180225e+12
512037,0.9825083804276092,57.11,1.520970205256e+12
512038,0.9694603849131289,32.71,1.520970307488e+12
512039,0.3868738951596604,1.63,1.520970396101e+12
512040,0.8125718140072594,1,1.520970420943e+12
512041,0.6532876546618733,2.88,1.520970438946e+12
512042,0.5017870465530518,2.01,1.520970473518e+12
512043,0.7540184845575174,4.06,1.52097050174e+12
512044,0.1316403774851096,1.15,1.520970542944e+12
512045,0.8864270047951552,8.8,1.520970562756e+12
512046,0.2583410936077919,1.35,1.520970620489e+12
512047,0.6893838422115389,3.22,1.520970642522e+12
512048,0.6209050059832877,2.64,1.520970679196e+12
512049,0.8059410489643788,5.15,1.520970712171e+12
512050,0.0814541601765561,1.09,1.520970758253e+12
512051,0.0646704838296097,1.07,1.520970777355e+12
512052,0.0389911073816454,1,1.520970796217e+12
512053,0.0718728020023258,1.08,1.52097081422e+12
512054,0.2009792603088961,1.25,1.520970833203e+12
512055,0.6652506584453516,2.99,1.520970854146e+12
512056,0.7327909094125011,3.74,1.520970889409e+12
512057,0.6619238130892453,2.96,1.520970928981e+12
512058,0.3640933719845706,1.57,1.520970964064e+12
512059,0.4679171797977568,1.88,1.520970988337e+12
512060,0.1943212252097021,1.24,1.520971015449e+12
512061,0.5306136471989135,2.13,1.520971036283e+12
512062,0.1736645531313644,1.21,1.520971065486e+12
512063,0.1245219246774264,1.14,1.520971085977e+12
512064,0.5457455181856047,2.2,1.520971105669e+12
512065,0.8529506839935087,6.79,1.520971135423e+12
512066,0.4813558611742584,1.93,1.520971187416e+12
512067,0.2732767665929343,1.38,1.520971214969e+12
512068,0.4738983778455058,1.9,1.520971237321e+12
512069,0.4314317541270125,1.76,1.520971264615e+12
512070,0.6215577411049878,2.64,1.520971290668e+12
512071,0.6640970654934872,2.98,1.520971323641e+12
512072,0.7941584200119037,4.85,1.520971358843e+12
512073,0.7237578310826229,3.62,1.520971403676e+12
512074,0.0295842352857777,1.03,1.520971442609e+12
512075,0.7172595382941095,3.53,1.520971460981e+12
512076,0.7208851235268836,3.58,1.520971499422e+12
512077,0.1832516037820027,1.22,1.520971538135e+12
512078,0.7745341257598565,4.43,1.520971558747e+12
512079,0.0958093337472084,1.11,1.520971601719e+12
512080,0.1347629791439425,1.16,1.520971621062e+12
512081,0.6752341880172571,3.08,1.520971640985e+12
512082,0.4946433621213407,1.98,1.520971676808e+12
512083,0.4459565485468964,1.8,1.520971704779e+12
512084,0.8760186959700702,8.06,1.520971731191e+12
512085,0.5276744506619113,2.12,1.520971786963e+12
512086,0.2367865627717196,1,1.520971816087e+12
512087,0.1285065487326371,1.15,1.52097183409e+12
512088,0.5287352065855487,2.12,1.520971853902e+12
512089,0.6372840911236789,2.76,1.520971883025e+12
512090,0.9079469342036054,10.85,1.520971916808e+12
512091,0.8036819903188577,5.09,1.52097197929e+12
512092,0.8295484021840497,5.86,1.520972025134e+12
512093,0.8457754950145668,6.48,1.520972073946e+12
512094,0.9988688015329980,883.14,1.520972124929e+12
512095,0.8739017008044528,7.92,1.52097229522e+12
512096,0.2646532420219512,1.36,1.520972350604e+12
512097,0.8438280627233509,6.4,1.520972372747e+12
512098,0.0850447414175246,1.09,1.520972423459e+12
512099,0.7169614440568167,3.53,1.520972442561e+12
512100,0.0512960993338617,1.05,1.520972481004e+12
512101,0.0711305439637812,1.08,1.520972499626e+12
512102,0.2911709317218444,1.41,1.520972518611e+12
512103,0.8326482653693874,5.97,1.520972541274e+12
512104,0.2531456347213000,1.34,1.520972590487e+12
512105,0.6693128993896099,3.02,1.520972612408e+12
512106,0.1286816574001409,1.15,1.520972647862e+12
512107,0.0327982327511535,1.03,1.520972667675e+12
512108,0.2625080824975176,1.36,1.520972686048e+12
512109,0.6749155674304151,3.07,1.520972708191e+12
512110,0.1103796069767279,1.12,1.520972743952e+12
512111,0.8125013664393922,5.33,1.520972763414e+12
512112,0.4768438824631376,1.91,1.520972810217e+12
512113,0.4744885755876285,1.9,1.52097283759e+12
512114,0.4938939119442119,1.97,1.520972864884e+12
512115,0.2386109275367602,1.31,1.520972892766e+12
512116,0.0008538744880012,1,1.520972914367e+12
512117,0.6602709669760128,2.94,1.52097293237e+12
512118,0.5116038018631758,2.05,1.520972967321e+12
512119,0.7243586815251872,3.63,1.520972995874e+12
512120,0.1310796162884402,1.15,1.520973034856e+12
512121,0.6491608549023887,2.85,1.520973054669e+12
512122,0.0685959598209234,1.07,1.520973089042e+12
512123,0.3481983659668356,1.53,1.520973107904e+12
512124,0.4521096922578545,1,1.520973131786e+12
512125,0.4010931161234838,1.67,1.520973149789e+12
512126,0.7066545809401792,3.41,1.520973175012e+12
512127,0.1711593077450896,1.21,1.520973212783e+12
512128,0.1431843925135174,1.17,1.520973233276e+12
512129,0.5166369298278907,2.07,1.520973253319e+12
512130,0.2389904037674401,1.31,1.520973282031e+12
512131,0.4610563976366679,1.85,1.520973303632e+12
512132,0.4033033301595839,1.68,1.520973330484e+12
512133,0.5189955061112985,2.08,1.520973355806e+12
512134,0.3364572670162789,1.51,1.520973384598e+12
512135,0.0667621460898691,1.07,1.52097340828e+12
512136,0.6268972022521536,2.68,1.520973427143e+12
512137,0.2854968393886222,1.4,1.520973460386e+12
512138,0.7495960241066283,3.99,1.520973482949e+12
512139,0.2794377308523836,1.39,1.520973523811e+12
512140,0.6915286459707489,3.24,1.520973546264e+12
512141,0.0885338667054972,1.1,1.520973583048e+12
512142,0.4298227772651759,1.75,1.52097360227e+12
512143,0.8166302982290813,5.45,1.520973628233e+12
512144,0.9336585216069738,15.06,1.520973675505e+12
512145,0.3031020074391509,1,1.520973745587e+12
512146,0.5469367486766857,2.21,1.520973763591e+12
512147,0.3504003478098662,1.54,1.520973793423e+12
512148,0.5671470555400354,2.31,1.520973817395e+12
512149,0.8497517183073220,6.65,1.520973847987e+12
512150,0.2308141172935288,1.3,1.520973899531e+12
512151,0.0475270378048362,1,1.520973921024e+12
512152,0.4132750696533534,1.7,1.520973939027e+12
512153,0.2636843748073294,1.36,1.520973964531e+12
512154,0.3645730394321897,1.57,1.520973986674e+12
512155,0.5024476085096710,2.01,1.520974010946e+12
512156,0.9752694761788634,40.4,1.52097403917e+12
512157,0.8935809882575603,9.39,1.520974132922e+12
512158,0.3285414549355725,1.49,1.520974192115e+12
512159,0.4895543766882164,1,1.5209742156e+12
512160,0.4898913420014762,1,1.520974233602e+12
512161,0.1527510937658956,1.18,1.520974251605e+12
512162,0.9484054613738333,19.36,1.520974271758e+12
512163,0.7304877884989809,3.71,1.520974347771e+12
512164,0.1479587811389842,1,1.520974387184e+12
512165,0.7780330827874210,4.5,1.520974405188e+12
512166,0.4070391667557506,1.69,1.520974448481e+12
512167,0.4719261008947916,1.89,1.520974473894e+12
512168,0.6180006178603509,2.62,1.520974501097e+12
512169,0.4048387786384762,1.68,1.52097453393e+12
512170,0.6090370879063934,2.56,1.520974559251e+12
512171,0.8145599977147208,5.39,1.520974591664e+12
512172,0.9872047048963617,78.08,1.520974638707e+12
512173,0.5985134236045446,2.49,1.520974748639e+12
512174,0.2253873812093836,1.29,1.520974780562e+12
512175,0.1951628216065380,1.24,1.520974801945e+12
512176,0.5984901836138430,2.49,1.520974822778e+12
512177,0.7117075742482458,3.47,1.5209748547e+12
512178,0.8729600100482255,7.86,1.520974892803e+12
512179,0.0819407133576322,1.09,1.520974948016e+12
512180,0.6247932523546724,2.66,1.520974967121e+12
512181,0.9847037708351164,65.31,1.520975000233e+12
512182,0.6757497353655635,3.08,1.520975105766e+12
512183,0.0439488294171050,1,1.520975141589e+12
512184,0.7557569653158441,4.09,1.520975159592e+12
512185,0.4231678884064704,1.73,1.520975200945e+12
512186,0.7865759673962779,1,1.520975226727e+12
512187,0.5301829095767305,2.13,1.52097524473e+12
512188,0.8784362815503115,8.22,1.520975273933e+12
512189,0.6054343789828556,2.53,1.520975330136e+12
512190,0.3861431287103666,1.63,1.520975362338e+12
512191,0.6848588287096607,3.17,1.520975387181e+12
512192,0.3873506848205232,1.63,1.520975423552e+12
512193,0.1146919033757159,1.13,1.520975448396e+12
512194,0.0171471382531214,1.02,1.520975467967e+12
512195,0.1155461818248840,1.13,1.52097548622e+12
512196,0.2645978874677322,1.36,1.520975505792e+12
512197,0.1786254735613767,1.22,1.520975527934e+12
512198,0.8487290253044872,6.61,1.520975548546e+12
512199,0.2437727524069546,1.32,1.520975599962e+12
512200,0.9315591007311733,14.6,1.520975621676e+12
512201,0.9826127577066918,57.46,1.520975691027e+12
512202,0.2519447713279969,1.34,1.520975793409e+12
512203,0.9612548691130371,25.78,1.520975815331e+12
512204,0.7632086863189956,4.22,1.520975898194e+12
512205,0.8402132927068074,6.25,1.520975940177e+12
512206,0.5724396078317520,2.34,1.520975990379e+12
512207,0.0694162713059728,1.07,1.520976021203e+12
512208,0.8031917283784580,1,1.520976040066e+12
512209,0.9756961879263857,41.11,1.520976058068e+12
512210,0.7489312670074709,3.98,1.520976152251e+12
512211,0.4002875151113345,1.67,1.520976193064e+12
